,HLY0,HLY60,Country,Year,IMR1,IMR5,SCI,CHE,Skilled,indice_composite,root
34,74.59239130434783,60.0,Congo,2015,40.87048832271762,39.190166305133765,45.45454545454545,16.756491915727583,4.718807690575892,37.191110274856186,4.093469422840188
35,95.10869565217392,93.00000000000001,Costa Rica,2015,8.174097664543524,6.507592190889371,86.36363636363636,38.31455169034787,8.75771083794858,48.58360210524998,6.189874933336527
36,92.25543478260872,79.0,Croatia,2015,4.45859872611465,3.543022415039769,68.18181818181819,33.26800587947085,43.39682110855959,54.8101765459344,5.767842393778704
37,92.3913043478261,82.5,Cuba,2015,4.45859872611465,4.049168474331164,92.04545454545455,62.76335129838314,69.77351524156873,64.37983952036174,7.922332440536887
38,97.28260869565217,92.5,Cyprus,2015,2.3354564755838645,1.952277657266811,85.22727272727273,33.953944145026945,29.78071952811923,53.671075532936214,5.827001299555969
39,92.79891304347827,79.5,Czechia,2015,2.653927813163482,2.313810556760665,84.0909090909091,35.47280744732974,54.450898284479265,60.470423973713544,5.955905258424595
40,71.19565217391305,61.5,Democratic Republic of the Congo,2015,78.34394904458598,70.2819956616052,44.31818181818182,19.598236158745713,4.741321086046198,27.53197610928336,4.426989514189718
41,95.78804347826087,89.49999999999999,Denmark,2015,3.715498938428875,2.9645697758496015,93.18181818181819,50.12248897599216,93.06587419514611,68.17746593072788,7.079723792351801
42,77.44565217391305,67.0,Djibouti,2015,57.64331210191082,47.21619667389732,50.0,15.090641842234199,3.5391057679319196,33.31112017383324,3.8846675330373124
43,85.86956521739131,78.5,Dominican Republic,2015,27.60084925690021,22.631959508315255,84.0909090909091,28.319451249387555,12.733576478004412,47.054507242951374,5.321602319732992
44,91.71195652173914,85.50000000000001,Ecuador,2015,13.800424628450106,10.918293564714388,86.36363636363636,42.08721215090642,16.88504660272862,50.19364411313728,6.48746577261926
45,84.23913043478261,64.0,Egypt,2015,21.125265392781312,16.919739696312362,73.86363636363636,26.163645271925528,10.122022603449052,48.05283122791996,5.115041082134681
46,86.27717391304348,81.0,El Salvador,2015,14.012738853503185,11.06290672451193,85.22727272727273,37.38363547280745,10.851456616686928,50.246455855930535,6.1142158510153575
47,92.79891304347827,84.0,Estonia,2015,2.653927813163482,2.2415039768618943,85.22727272727273,31.11219990200882,44.112747084515284,58.19452777697323,5.577831110925538
48,63.72282608695652,53.0,Eswatini,2015,48.72611464968153,42.8054953000723,68.18181818181819,34.44390004899559,6.902607051195461,43.538609304228814,5.8688925743274245
49,79.21195652173914,68.0,Ethiopia,2015,45.753715498938426,44.97469269703543,44.31818181818182,18.716315531602156,1.2472421090548877,32.900383391798584,4.3262357230740625
50,80.97826086956522,58.5,Fiji,2015,21.86836518046709,17.5704989154013,72.72727272727273,16.26653601175894,16.99761358008015,50.19838878643056,4.033179392459371
51,96.05978260869566,91.5,Finland,2015,2.1231422505307855,1.8076644974692695,89.77272727272727,47.28074473297403,82.07033184744922,65.43280817774924,6.876099529018907
52,97.41847826086958,97.5,France,2015,3.715498938428875,2.9645697758496015,88.63636363636364,56.19794218520333,62.27205187086317,59.98352360025865,7.496528675674051
53,76.49456521739131,63.0,Gabon,2015,38.00424628450106,36.00867678958785,57.95454545454545,13.032827045565899,14.872349047683372,41.96430587059982,3.6101006974274137
54,75.81521739130436,62.5,Gambia,2015,42.250530785562624,43.38394793926247,51.13636363636363,15.58059774620284,7.767121437255167,37.46581087005414,3.947226589163946
55,87.22826086956522,71.0,Georgia,2015,9.978768577494693,7.592190889370932,75.0,38.853503184713375,39.38493403575127,55.815019597613556,6.233257830758597
56,95.2445652173913,88.5,Germany,2015,3.5031847133757963,2.8199566160520604,93.18181818181819,54.77707006369427,80.97618082759242,66.01837696385587,7.401153292811483
57,76.7663043478261,63.0,Ghana,2015,41.188959660297236,39.479392624728845,52.27272727272727,22.635962763351298,4.597235355036247,37.705957165011995,4.757726638148864
58,95.6521739130435,91.0,Greece,2015,4.140127388535031,3.181489515545915,84.0909090909091,39.294463498285154,43.437345220406144,56.22490543769166,6.268529612140726
59,86.82065217391305,72.5,Grenada,2015,15.074309978768577,11.713665943600867,78.4090909090909,22.782949534541896,20.36561754243775,51.290647068926084,4.773148807081327
60,83.55978260869566,73.0,Guatemala,2015,25.159235668789808,20.46276211135213,64.77272727272727,28.71141597256247,7.9292178846413615,43.91995652058519,5.358303460290624
61,69.97282608695653,59.5,Guinea,2015,72.92993630573248,78.01879971077368,38.63636363636363,28.46643802057815,1.994686838669008,25.28489130488724,5.335394832679035
62,69.15760869565219,55.0,Guinea-Bissau,2015,62.84501061571125,65.5820679681851,45.45454545454545,42.08721215090642,3.2869557386645054,31.01586384430341,6.48746577261926
63,77.71739130434783,63.0,Guyana,2015,29.087048832271762,23.933477946493127,79.54545454545455,26.31063204311612,3.345490566887298,47.039310289073,5.129389051643102
64,83.28804347826087,67.5,Honduras,2015,17.515923566878982,13.955169920462762,75.0,36.64870161685448,6.857580260254852,48.42128101561834,6.053817111282309
65,90.48913043478261,75.5,Hungary,2015,4.564755838641188,3.6876355748373095,82.95454545454545,33.75796178343949,43.793056868836956,58.50769167888838,5.810160220117814
66,97.69021739130437,94.49999999999999,Iceland,2015,1.910828025477707,1.5907447577729574,96.5909090909091,39.83341499265067,85.893106398307,66.99952786547999,6.311371878811347
67,80.29891304347827,65.5,India,2015,37.04883227176221,31.453362255965292,59.09090909090909,17.63841254287114,12.382367508667658,41.68931703285042,4.199811012756543
68,84.6467391304348,66.0,Indonesia,2015,24.73460721868365,20.10122921185828,60.22727272727273,14.64968152866242,6.997163312170741,43.42183281756172,3.8274902388722585
69,89.2663043478261,77.5,Iran (Islamic Republic of),2015,14.64968152866242,11.641359363702097,79.54545454545455,38.02057814796668,13.69714980413346,49.252019974745714,6.166082885265708
70,82.60869565217392,71.0,Iraq,2015,26.11464968152866,21.33044107013738,69.31818181818181,15.384615384615385,11.995137106578413,45.763371472336914,3.922322702763681
71,96.05978260869566,91.5,Ireland,2015,3.3970276008492566,2.675343456254519,89.77272727272727,35.86477217050466,67.94542752937998,62.30690298734649,5.988720411782859
72,97.55434782608697,94.0,Israel,2015,3.3970276008492566,2.8199566160520604,92.04545454545455,34.8358647721705,38.93466612634518,56.38146048584722,5.902191522830355
73,97.28260869565217,93.00000000000001,Italy,2015,3.184713375796178,2.5307302964569773,92.04545454545455,43.410093091621754,46.91791616011527,58.21153500511252,6.588633628577457
74,90.48913043478261,82.5,Jamaica,2015,14.225053078556263,11.279826464208242,70.45454545454545,27.58451739343459,9.622225224008284,45.98905744805696,5.252096476021227
75,100.0,100.0,Japan,2015,2.1231422505307855,2.024584237165582,90.9090909090909,53.356197942185204,61.27245711198164,59.81907853172832,7.304532698413034
76,91.84782608695652,81.0,Jordan,2015,16.02972399150743,12.72595806218366,86.36363636363636,37.18765311121999,29.447521275158724,52.54450229878024,6.098168012708406
77,86.1413043478261,71.0,Kazakhstan,2015,11.146496815286623,8.532176428054953,84.0909090909091,14.894659480646741,52.604799855914266,60.18979595265981,3.85935998329344
78,76.22282608695653,64.0,Kenya,2015,37.473460721868356,35.86406362979031,61.36363636363637,25.575698187163155,8.041784861992886,41.31636022958965,5.057242152316137
79,70.10869565217392,50.99999999999999,Kiribati,2015,47.346072186836516,41.50397686189443,44.31818181818182,39.14747672709456,21.693907875185737,41.045276217176195,6.256794445008927
80,95.3804347826087,90.0,Kuwait,2015,7.961783439490445,6.290672451193057,85.22727272727273,19.647231749142577,43.47336665315863,55.60972808537687,4.432519796813385
